user_idx,item_idx
456,199
329,27
886,945
71,503
822,149
937,117
565,581
129,411
310,179
129,349
623,236
124,400
613,120
587,172
885,1047
523,31
631,678
457,126
222,273
540,476
452,187
12,825
22,237
628,275
757,779
456,21
499,728
805,203
331,232
804,1148
193,791
199,116
466,6
303,321
89,500
20,243
696,256
10,371
212,180
641,774
0,88
721,747
614,274
571,12
886,21
196,565
497,651
933,402
550,508
605,6
43,4
845,32
310,38
740,273
620,24
927,267
890,147
942,654
591,704
371,873
405,712
294,64
532,210
676,741
397,519
845,395
388,614
843,99
637,171
300,46
468,482
908,706
88,110
748,30
317,284
730,1502
298,301
456,229
235,590
772,63
331,297
913,780
895,492
611,14
296,97
408,170
270,123
388,284
552,366
449,1125
377,97
526,478
900,422
789,41
654,47
10,434
88,731
55,221
845,202
531,281
685,653
266,152
225,55
197,126
336,124
472,1128
429,233
903,784
641,825
290,171
93,580
345,209
492,337
532,738
534,477
261,69
803,819
424,549
195,237
279,722
529,442
572,177
487,233
408,606
542,301
560,179
739,339
213,168
863,54
620,418
378,27
404,419
582,707
196,176
586,314
173,106
646,401
664,215
262,204
214,420
517,116
223,654
748,469
658,804
837,11
157,529
503,321
410,195
291,225
270,190
861,978
542,935
931,434
405,646
411,173
839,44
863,99
476,87
317,1159
150,522
425,204
547,1072
933,190
550,225
471,201
503,126
285,558
792,49
393,430
143,192
6,385
431,1046
434,526
360,96
377,595
151,1034
32,299
311,638
298,587
757,237
183,1136
290,470
640,431
144,194
296,132
333,1169
0,160
663,275
522,693
534,631
647,404
296,1006
312,520
290,209
212,10
367,180
295,126
133,293
693,190
14,282
918,146
384,521
191,1136
446,1141
542,22
566,652
589,285
86,522
326,172
319,240
750,173
331,281
289,171
851,126
266,99
617,49
372,365
891,143
310,171
225,241
424,306
677,275
377,734
871,271
744,514
329,356
236,63
457,460
15,75
689,648
40,173
824,422
249,627
157,282
634,268
794,24
668,96
587,1427
344,195
255,116
500,543
733,14
915,582
746,734
275,580
471,795
427,300
243,41
177,683
335,55
42,422
591,287
776,0
118,258
58,1047
398,52
234,1192
183,339
652,68
495,97
372,214
360,169
223,161
270,962
647,108
193,506
513,155
212,193
825,390
746,168
779,704
291,264
711,171
22,172
717,120
542,655
342,51
794,0
298,82
145,301
863,136
457,474
6,67
715,48
796,180
397,609
91,78
344,86
405,316
532,53
234,1020
11,190
756,204
40,485
803,528
514,287
789,209
129,281
129,97
731,268
341,485
248,237
311,429
617,173
451,126
782,871
59,88
465,305
285,10
253,63
553,81
568,1196
507,100
761,474
431,236
290,575
90,81
867,407
202,116
236,198
908,879
449,125
642,193
96,654
639,67
292,312
847,94
714,545
641,446
647,429
916,236
310,943
96,194
893,243
647,602
915,180
109,271
536,487
424,287
566,208
150,96
670,120
144,673
435,215
6,377
906,814
185,147
359,169
886,1495
837,110
931,524
368,315
674,1006
734,303
415,499
177,30
252,86
100,180
489,1385
378,143
455,1008
425,1063
478,914
313,467
547,325
626,183
693,187
353,418
448,58
275,346
327,198
89,712
915,237
278,801
599,525
449,385
290,684
585,209
589,18
135,743
515,193
116,270
832,191
379,479
8,370
135,13
255,472
556,874
736,63
531,329
740,650
726,678
902,185
233,483
390,173
333,509
931,610
772,46
688,762
641,21
542,134
63,526
449,416
384,172
724,878
63,178
304,528
214,195
544,403
56,116
682,247
108,195
587,431
388,490
449,935
422,271
341,377
930,689
151,684
503,513
285,39
344,69
252,317
329,160
81,518
43,143
91,227
795,848
328,301
295,356
686,312
456,30
396,317
891,356
334,339
300,249
893,257
129,793
12,515
547,750
89,153
711,39
473,251
869,658
221,8
55,448
30,270
898,422
59,674
821,94
333,895
524,275
668,126
803,398
124,293
662,306
879,256
624,587
591,746
861,181
313,1062
935,268
532,1141
378,6
168,132
937,507
425,660
454,371
832,431
531,142
4,100
238,646
127,215
453,314
86,173
607,734
626,10
523,641
720,719
255,656
938,219
561,87
814,171
53,339
850,346
302,151
333,524
290,495
673,116
880,70
263,708
845,1167
232,275
362,226
434,189
257,325
91,822
42,251
397,152
795,426
553,264
222,819
19,81
199,527
242,85
662,175
307,69
782,332
454,777
333,633
294,120
16,918
500,695
660,68
797,1539
346,1038
828,69
212,1
818,181
647,207
498,152
267,177
911,131
747,49
22,174
478,356
91,133
253,428
384,159
879,123
126,293
641,559
902,323
307,640
412,236
697,130
421,1016
285,136
646,741
189,627
869,656
847,120
58,8
1,305
880,614
56,281
428,233
337,212
658,1043
17,210
344,533
929,299
436,151
620,267
12,41
211,285
270,210
397,683
0,22
873,115
342,80
639,213
380,1532
346,94
710,136
105,285
902,528
129,38
880,471
642,222
112,99
377,86
351,175
486,205
888,817
471,454
319,545
157,110
